Subject
"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"E=noreply@vmware.com, CN=""VMware, Inc."", O=""VMware, Inc."", L=Palo Alto, S=California, C=US"
"CN=.NET, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"CN=Docker Inc, O=Docker Inc, L=San Francisco, S=California, C=US"
"CN=Windows Phone, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"CN=voidtools, O=voidtools, L=Wilmington, S=South Australia, C=AU"
"CN=Microsoft 3rd Party Application Component, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"CN=Microsoft Corporation, OU=AOC, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"CN=Simon Tatham, O=Simon Tatham, S=Cambridgeshire, C=GB"
"CN=Microsoft Windows Publisher, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
"CN=Reactive Extensions for .NET (.NET Foundation), O=Reactive Extensions for .NET (.NET Foundation), L=Redmond, S=wa, C=US, SERIALNUMBER=603 389 068"
"CN=Microsoft Windows Hardware Compatibility Publisher, O=Microsoft Corporation, L=Redmond, S=Washington, C=US"
